epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,263.242,3.46452,4.38539,4.08632,0.73603,0.17277,0.10403,0.05639,3.12531,7.03052,3.58544,0.000472955,0.000472955,0.000472955
2,521.011,3.02398,3.60934,3.32124,0.05194,0.32124,0.10072,0.0251,2.57631,18.4634,3.36436,0.000930493,0.000930493,0.000930493
3,779.562,2.64246,3.16852,2.82522,0.36228,0.26758,0.21922,0.10996,2.12981,3.67101,2.49168,0.00136917,0.00136917,0.00136917
4,1030.26,2.43571,2.79841,2.56734,0.42245,0.38445,0.36586,0.18221,1.99666,2.97328,2.36421,0.00134412,0.00134412,0.00134412
5,1279.21,2.27193,2.5359,2.42749,0.74972,0.36308,0.40574,0.21083,1.9179,3.08467,2.20412,0.00131582,0.00131582,0.00131582
6,1529.61,2.16892,2.25898,2.228,0.73564,0.41887,0.5103,0.27525,1.80607,2.2477,2.11137,0.00128753,0.00128753,0.00128753
7,1774.45,2.06396,2.18802,2.16309,0.57282,0.49863,0.4934,0.25958,1.71236,2.26584,1.9722,0.00125923,0.00125923,0.00125923
8,2024.03,1.98914,2.07281,2.09173,0.7143,0.52469,0.55062,0.30371,1.73199,2.13555,1.98009,0.00123094,0.00123094,0.00123094
9,2277.4,1.91146,1.9377,2.00902,0.68641,0.53128,0.59075,0.32953,1.68115,1.7872,1.9505,0.00120265,0.00120265,0.00120265
10,2526.72,1.87998,1.85944,1.97457,0.71375,0.5634,0.61715,0.34088,1.6119,1.74586,1.86759,0.00117435,0.00117435,0.00117435
11,2785.01,1.85225,1.7798,1.94357,0.74217,0.54015,0.60624,0.35476,1.57271,1.63506,1.83813,0.00114606,0.00114606,0.00114606
12,3040.21,1.77645,1.69297,1.87267,0.72688,0.59874,0.64405,0.35809,1.60667,1.52239,1.81375,0.00111776,0.00111776,0.00111776
13,3296.62,1.76318,1.69999,1.86288,0.77006,0.60358,0.65822,0.38909,1.5378,1.42732,1.79054,0.00108947,0.00108947,0.00108947
14,3549.29,1.70364,1.6071,1.80979,0.77663,0.59677,0.66243,0.38588,1.52102,1.42179,1.76989,0.00106118,0.00106118,0.00106118
15,3810.86,1.7089,1.5475,1.80185,0.82164,0.60548,0.67746,0.40441,1.47628,1.35086,1.71262,0.00103288,0.00103288,0.00103288
16,4067.92,1.68413,1.52831,1.79491,0.79038,0.62146,0.69346,0.41258,1.49163,1.42899,1.7265,0.00100459,0.00100459,0.00100459
17,4316.12,1.62535,1.47679,1.7435,0.81628,0.63595,0.70188,0.40888,1.48616,1.35407,1.71267,0.000976293,0.000976293,0.000976293
18,4567.17,1.61541,1.43826,1.72922,0.81844,0.62776,0.69837,0.43417,1.40012,1.26018,1.64949,0.000947999,0.000947999,0.000947999
19,4827.2,1.61574,1.41941,1.70861,0.80476,0.60789,0.69405,0.42823,1.41027,1.31693,1.65302,0.000919704,0.000919704,0.000919704
20,5082.12,1.56392,1.35102,1.68499,0.77457,0.63192,0.68268,0.39835,1.4945,1.40997,1.70328,0.00089141,0.00089141,0.00089141
21,5337.42,1.5865,1.38396,1.7004,0.81647,0.65117,0.70946,0.41682,1.46612,1.20061,1.65584,0.000863116,0.000863116,0.000863116
22,5597.2,1.58845,1.3498,1.70947,0.8217,0.65239,0.71239,0.43423,1.44471,1.13801,1.65661,0.000834822,0.000834822,0.000834822
23,5854,1.54206,1.31741,1.66044,0.80909,0.65895,0.7314,0.45267,1.38398,1.09476,1.606,0.000806528,0.000806528,0.000806528
24,6108.18,1.51928,1.2718,1.63861,0.81997,0.67631,0.73632,0.45573,1.39163,1.08674,1.6167,0.000778233,0.000778233,0.000778233
25,6349.98,1.4925,1.23766,1.63053,0.83194,0.66919,0.74057,0.46311,1.36833,1.09591,1.58177,0.000749939,0.000749939,0.000749939
26,6589.53,1.49101,1.24115,1.62562,0.83861,0.6632,0.74098,0.46103,1.3887,1.04403,1.61082,0.000721645,0.000721645,0.000721645
27,6847.93,1.49338,1.2411,1.62088,0.85134,0.68526,0.753,0.45487,1.40546,1.04773,1.60339,0.000693351,0.000693351,0.000693351
28,7108.16,1.51248,1.2508,1.60545,0.86176,0.67218,0.76228,0.48007,1.36189,1.01586,1.58247,0.000665057,0.000665057,0.000665057
29,7359.3,1.4738,1.22668,1.57936,0.83689,0.67154,0.74978,0.46575,1.35151,1.03538,1.56071,0.000636762,0.000636762,0.000636762
30,7615.53,1.46359,1.17841,1.58408,0.85307,0.68271,0.75958,0.46996,1.39638,1.04301,1.60781,0.000608468,0.000608468,0.000608468
31,7865.45,1.4542,1.17416,1.60863,0.83873,0.67467,0.7537,0.46409,1.37254,1.05295,1.57721,0.000580174,0.000580174,0.000580174
32,8120.17,1.44928,1.16396,1.58974,0.8598,0.68877,0.7698,0.48871,1.3171,0.96275,1.54257,0.00055188,0.00055188,0.00055188
33,8368.36,1.46,1.17684,1.59559,0.87128,0.68486,0.77731,0.49469,1.33132,0.97173,1.5561,0.000523586,0.000523586,0.000523586
34,8619.87,1.45022,1.14958,1.56196,0.84346,0.69207,0.76843,0.48112,1.3341,0.97656,1.5622,0.000495291,0.000495291,0.000495291
35,8882.36,1.44579,1.1385,1.55206,0.85037,0.67962,0.77081,0.48451,1.33411,0.94191,1.55252,0.000466997,0.000466997,0.000466997
36,9131.23,1.43015,1.11872,1.56043,0.86819,0.68702,0.77448,0.49548,1.32197,0.93094,1.53951,0.000438703,0.000438703,0.000438703
37,9377.65,1.42311,1.10024,1.54146,0.84734,0.69807,0.77931,0.49294,1.34231,0.92561,1.55757,0.000410409,0.000410409,0.000410409
38,9624.92,1.41232,1.08104,1.54449,0.85708,0.69313,0.77611,0.49834,1.29244,0.91671,1.52645,0.000382115,0.000382115,0.000382115
39,9871.69,1.3993,1.09015,1.5522,0.87315,0.69375,0.77768,0.49844,1.30937,0.91731,1.53022,0.00035382,0.00035382,0.00035382
40,10115.6,1.36284,1.035,1.52813,0.85547,0.70423,0.79067,0.50694,1.28095,0.88864,1.51077,0.000325526,0.000325526,0.000325526
41,10359.8,1.33548,0.97443,1.53638,0.88252,0.69953,0.78286,0.50601,1.28824,0.89582,1.51137,0.000297232,0.000297232,0.000297232
42,10605.3,1.29818,0.92732,1.48963,0.84042,0.71014,0.78759,0.50593,1.29385,0.88024,1.51922,0.000268938,0.000268938,0.000268938
43,10846.3,1.29247,0.91837,1.48927,0.88602,0.6843,0.78378,0.50913,1.27781,0.86723,1.51197,0.000240644,0.000240644,0.000240644
44,11092.8,1.29105,0.91259,1.50601,0.87678,0.70815,0.79229,0.50942,1.28695,0.84927,1.52124,0.000212349,0.000212349,0.000212349
45,11347.2,1.26535,0.89872,1.48209,0.86508,0.71457,0.79392,0.51743,1.27069,0.84178,1.50514,0.000184055,0.000184055,0.000184055
46,11593.6,1.28017,0.88776,1.46684,0.87492,0.70285,0.79325,0.51547,1.2675,0.82931,1.49636,0.000155761,0.000155761,0.000155761
47,11849,1.2564,0.88267,1.47306,0.89607,0.70212,0.79615,0.51924,1.26045,0.82082,1.49594,0.000127467,0.000127467,0.000127467
48,12102.4,1.2548,0.85596,1.45418,0.87051,0.71301,0.79773,0.52015,1.25673,0.81851,1.48639,9.91726e-05,9.91726e-05,9.91726e-05
49,12357.2,1.26305,0.86221,1.46993,0.85894,0.71808,0.80004,0.52323,1.24969,0.81256,1.48398,7.08784e-05,7.08784e-05,7.08784e-05
50,12612.7,1.25025,0.85417,1.46362,0.86609,0.71752,0.8026,0.5212,1.25188,0.807,1.48251,4.25842e-05,4.25842e-05,4.25842e-05
